idpersona,tipo_persona,nombre,tipo_documento,num_documento,direccion,telefono,email
1,Supplier,Kayla West,Passport,G38232932,9794 Russo Curve,588.449.1781x63690,christine21@example.org
2,Supplier,Tonya Moore,Passport,606584966,447 Maynard Overpass Suite 461,641.340.0672x49931,jonesmichael@example.net
3,Supplier,Jeremy Adams,Passport,M75947940,403 Timothy Fords,(365)674-9588,uclark@example.com
4,Supplier,Dr. Brian Lynch,Passport,W97529359,758 Susan Inlet Apt. 764,001-295-946-0557,kayla77@example.net
5,Supplier,Justin Garcia,Passport,D56537443,951 Avila Summit,(925)805-3265x398,baileyjustin@example.com
6,Supplier,Alexander Richardson,DPI,8868519728407,995 Perez Avenue,(805)611-7434x379,fmann@example.org
7,Supplier,Jeremiah Ward,Passport,Y67168166,184 Robert Forks,+1-998-777-2015x69062,csmith@example.net
8,Supplier,James Christensen,DPI,8931271950529,3541 Oconnor Hills,224.530.2892x5882,elizabethturner@example.net
9,Supplier,Melissa Palmer,DPI,3282154428826,489 Matthew Throughway Suite 431,865-563-0885x31996,maria30@example.com
10,Supplier,Robert Moore,Passport,229974824,804 Sherry Parkways Apt. 026,710.303.0892,wellsveronica@example.org
11,Supplier,Emily Edwards,Passport,Y62386358,0664 Kaylee Green,766.577.6168,davidstephens@example.net
12,Supplier,Ryan Nguyen,Passport,132982169,4165 Brown Spur Apt. 297,+1-791-273-5333,derrick37@example.org
13,Supplier,Daniel Werner,DPI,1002630727465,6769 Brandi Stream,001-482-962-7579x41662,douglastaylor@example.net
14,Supplier,Beth Reynolds,Passport,646832391,1308 Peter Mews,356-646-4536x918,josephanderson@example.net
15,Supplier,Matthew Harris,Passport,439746896,798 Antonio Spur,(991)717-0720x4138,tsnow@example.net
16,Supplier,Christina Richardson,DPI,2500556046444,82102 David Well,330.997.6197x016,chapmanantonio@example.com
17,Supplier,Sonya Stephens,Passport,812051092,948 Joseph Trace Suite 405,340.874.6835x4120,jonathanortiz@example.org
