idusuario,idrol,nombre,tipo_documento,num_documento,direccion,telefono,email,clave,estado
1,1,Chad Bradley,DPI,2169959262922,72421 Joshua Vista,+1-768-326-6333x3417,campbelljill@example.net,U#D8JstV)%7R,1
2,3,Leslie Cruz,Passport,M05342108,3999 John Via Apt. 045,824.460.6450x303,ipatterson@example.org,)&2hnX3hSMTK,1
3,3,Candice Smith,DPI,1708939273887,15286 Sanchez Fork,729.823.6726x6734,mrodriguez@example.org,Lb%XWKbKFv89,0
4,3,Jennifer Murphy,Passport,136410817,03455 Michael Cliff,3099164609,andreathompson@example.net,)oOffFG$b2D5,1
5,3,Anthony Brown,DPI,1402463891115,229 Ian Street Apt. 455,(702)211-5958x6132,walter34@example.com,pDW(ckybIR2E,0
6,3,Kurt Whitaker,Passport,E23060682,43273 Hernandez Station,648.947.1761x3290,thomasrobert@example.com,csH++lCg%9rF,0
7,3,April Morrison,DPI,3557753407532,429 Jackson Village Apt. 643,794.534.7543x36729,adam15@example.net,@3DTv%tn(nbI,1
8,3,Christine Elliott,DPI,4465807115242,191 Moss Viaduct Apt. 877,8169267870,kimkrueger@example.com,c8O9GVsn)QtX,1
9,3,Joseph Mason,Passport,286221120,85866 Grant Centers,001-459-696-8375,williamsjeremy@example.net,_jbPPI4f3yBa,0
10,3,Kayla Coleman,Passport,H25559730,07128 Thompson Neck Suite 518,479.341.6461x782,michaelbonilla@example.org,3ApoMrju&utW,1
11,2,Chad Duke,Passport,440721244,1897 Robin Pine Suite 981,+1-537-747-2716x54524,anthony86@example.net,x&8&AiroPw47,1
12,3,Gerald Young,Passport,C27366278,64021 Micheal Views Suite 621,600-640-8921x94261,jonbanks@example.net,ar&)sKep)_9U,1
13,3,Amanda Jones,DPI,8953534907450,56024 Darrell Manor Apt. 779,515.302.0240x520,jennifer29@example.com,Yu+!XwpGG02C,0
14,3,Ronald Patterson,Passport,935155763,924 Shelby Falls Apt. 790,395.343.0247x3875,perkinsjake@example.net,T_&wTC7q(j46,1
15,3,Dylan Adams,Passport,M28521416,883 Crawford Turnpike Apt. 170,+1-986-491-1110x985,anthony13@example.net,KJXGMbr+T!g7,0
16,3,Melissa Brown,DPI,610877905999,667 Angela Ridge,2538786799,miketurner@example.org,@%A_8fl^V25e,1
17,3,Victoria Spence,DPI,8231543350603,417 David Landing Apt. 285,001-710-991-1618x328,theodoresantiago@example.org,_E2hgEmv+ute,1
18,3,Catherine Stokes,Passport,539741739,68471 Fisher Point Apt. 447,620-929-4177x56020,randywalker@example.org,8+euJBo1a!x4,1
19,3,Lori Nguyen,DPI,1767069740161,3809 Rachel Lodge,+1-831-376-1949x48621,hodgejohn@example.com,&7pwjGgOU$G_,0
20,3,Brett Riggs,DPI,4235798245697,591 Grimes Springs,727-416-3447,wwalsh@example.net,+D*g2o^vug8Y,1
21,2,Harold Mayer,Passport,M81611568,03289 Shaffer Wall,+1-496-525-5258x65295,bdecker@example.org,wfv70)Kx_5^3,1
22,3,Jacob King,Passport,J73646205,82763 Reed Expressway Suite 372,807.818.7883,lmorales@example.com,#lLwIMj^F8sF,0
23,3,David Osborne,DPI,2529907533700,99900 Andrew Forest Apt. 819,2933164984,aguilarmark@example.org,2T9D%k3K3#9),0
24,3,Wendy Scott,DPI,7575986067130,747 Wilson Rapid Apt. 005,+1-752-305-6672x67792,rgonzales@example.net,+LK^yqH8J1Nu,0
25,3,Matthew Simmons,Passport,656090201,962 Brandt Row Apt. 406,+1-823-684-0672x546,dgray@example.net,fSRqBy_0!9sM,0
26,1,Mike Sexton,DPI,3629175782001,9637 Petersen Coves,+1-630-649-0650x39903,ewhitaker@example.org,vm6L_2Ze#1L&,1
27,3,Monica Sanford,Passport,S47363158,1543 Martinez Cliff Apt. 787,(219)582-8402x724,edward55@example.org,@+V*facG2m!$,0
28,3,Lance Williams,Passport,835785419,58635 Massey Summit Apt. 122,242-622-4413x68501,elizabeth78@example.com,(%tN2zcKvk10,1
29,3,Tracy Jones,Passport,G92985329,14541 Rebecca Ford Apt. 370,001-473-335-2605x24657,susan17@example.org,Fn1!cogIT)^H,0
30,3,Ryan Morris,Passport,E51905314,41263 Sabrina Fall Suite 690,263.913.9243x3576,oshaw@example.com,&ghwOau$23g#,0
31,2,James Russell,Passport,W95578594,169 Short Tunnel Apt. 550,283.919.4651,andersonjohn@example.net,3wfB9ubk_ZIv,1
32,3,Linda Lopez,DPI,893313513237,137 Smith Extension,+1-794-754-3074x7231,eanderson@example.com,)4h4hOoUbArE,1
33,3,Jeffrey Ramsey,Passport,065406215,0762 Ivan Shoal,2914942547,rick96@example.org,Smk4LHFxa*aY,0
34,3,Tiffany Thomas,Passport,681665612,6192 Janet Crescent,(486)680-4369x16517,hubercorey@example.com,39oEeuhqV7B+,1
35,3,Andrea Andrade,DPI,1612181068377,012 Gerald Ports Apt. 841,(673)786-6323,gwilliamson@example.net,M30sQ7By)inZ,0
36,3,Abigail Smith,Passport,W52773389,03085 Roberts Alley,472-973-3398x11035,oaguirre@example.org,X^A)vvvV@5rH,1
37,3,Juan Rivera,Passport,772627266,6741 Madison Spur Apt. 198,001-707-437-5351x056,joseph13@example.org,EG4SXw)#_LL0,1
38,3,Vanessa Smith,DPI,7306801622922,113 Brown Mountain Suite 794,9389235859,dunnmark@example.net,Q#8MD@os$*y9,1
39,3,Ashley Davis,DPI,200897020818,4479 Cross Mews,+1-877-888-2749x2689,nmurray@example.net,ZI)oJh3hHA1O,1
40,3,William Wade,DPI,620102963508,24748 Kimberly Well Apt. 825,(651)404-9619,johnrogers@example.net,c%IGQuujt56S,0
